ID,Product_Type,Raw_Material_Usage_kg,Energy_Consumption_kWh,Waste_Generated_kg,Transport_Distance_km,CO2_Emission_kg_per_unit,Manufacturing_Energy_kWh,Renewable_Energy_%,Cost_per_Unit,Delivery_Time_days,Sustainability_Score,CO2_Factor_per_USD,Ownership_Type,Certification,Packaging_Type,Locality
1,pharmaceutical,187.10247367188637,372.345524628207,4.580996539323735,2708.230192162127,206.07250110878883,195.0220971699308,77.31280095781128,4696.896464436873,2,81.25,,Corporate,FairTrade,Compostable,National
2,food,117.3753048819497,82.43795119940302,31.494819966245057,605.9985434877372,794.0033593775123,784.2067289428086,31.89912396039677,989.7217874854996,4,37.55,,Local Vendor,None,Biodegradable,National
3,automotive,142.36365653660954,82.06552749436636,49.07771400135243,945.366997037174,166.37296886768976,775.0472638251905,16.86311766776579,1321.186084267324,2,41.17,,Women-Owned,ISO14001,Plastic,Local
4,food,185.2748824236862,55.44881385569936,10.315274839402656,2883.0740568487945,653.1613261955047,214.61027051541967,46.87720162352894,1464.6725393304714,1,56.79,,Corporate,ISO14001,Biodegradable,Local
5,food,144.37534051954574,480.42562923476606,39.83716069813078,1552.152306215113,167.6537253705266,309.59618736217465,13.996935491162343,381.5366554497695,10,45.27,,Corporate,ISO14001,Biodegradable,National
6,apparel,38.98241815370966,381.8787617565531,45.48704089520135,4697.747070391449,117.00885571330872,170.10849825473684,17.738021641600636,790.6501932335595,13,45.58,,Local Vendor,ISO14001,Compostable,Local
7,automotive,119.4947884316945,208.96313382592888,47.24137804819082,4111.827124471849,913.9580285015828,290.2023192287258,25.35725724373724,4934.4796301319775,13,16.49,,Women-Owned,GreenSeal,Biodegradable,Local
8,automotive,125.27585881274264,183.44101157944485,48.04664461586691,4919.479311916949,230.6223280027704,671.1690525906447,42.50451749174992,1713.040339410973,3,51.69,,Women-Owned,ISO14001,Compostable,National
9,automotive,90.58482754745334,207.3664533856323,26.551522297352125,1372.3871108570286,830.1876468317191,364.8209250156816,40.32756526163195,753.4452336274368,12,43.13,,Corporate,GreenSeal,Recycled,Local
10,food,149.92440476869734,398.59408903153184,48.88808749158368,4851.645800710087,567.399327551779,161.87787700273086,65.97843034019539,713.558053638192,8,54.98,,Minority-Owned,GreenSeal,Recycled,International
11,pharmaceutical,187.52973280611283,347.6167749816865,38.1082001495875,2213.0459619786334,123.96369362833111,339.55786734523315,61.76322577188794,3653.407844815865,6,64.61,,Corporate,ISO14001,Compostable,International
12,automotive,185.8580174522875,133.33800554036057,8.921900375611134,1802.8420970373977,957.675781866164,786.9683339688961,39.84228057934909,4301.929587356676,12,39.02,,Corporate,ISO14001,Recycled,International
13,food,95.6594805667851,128.34920090033796,24.36810521693053,346.7126821498309,284.6131086422979,540.778516681442,33.35929453029409,1433.3710376406557,7,55.53,,Corporate,FairTrade,Plastic,International
14,apparel,31.515228709743496,94.2780423710288,36.1982275932282,358.54976351205283,866.6630780849762,391.3126624843104,32.1528148843049,300.36565920912784,2,35.0,,Corporate,None,Biodegradable,National
15,pharmaceutical,197.1198278028436,347.1362238656022,13.119675475135084,3490.855154138608,210.369505495336,216.57695944808896,64.17965611058062,1270.832088537708,6,77.99,,Local Vendor,ISO14001,Plastic,National
16,apparel,169.3906364247275,393.9676979997812,32.39014399389548,2343.852072726737,861.2457380347603,790.3237580985864,13.64506843548888,471.2753158244352,14,27.09,,Women-Owned,FairTrade,Biodegradable,National
